date,pm25,date,pm10,date,o3,date,no2,date,so2,date,co,date,t,date,p,date,h
2017/11/22 02:00:00,50,2017/11/22 02:00:00,13,2017/11/22 01:00:00,3,2017/11/22 02:00:00,15,2017/11/21 21:00:00,4,2017/11/22 01:00:00,7,2017/11/22 01:00:00,9,2017/11/22 01:00:00,1022,2017/11/22 01:00:00,100
2017/11/22 02:00:00,50,2017/11/22 02:00:00,13,2017/11/22 01:00:00,3,2017/11/22 02:00:00,15,2017/11/21 21:00:00,4,2017/11/22 01:00:00,7,2017/11/22 01:00:00,9,2017/11/22 01:00:00,1022,2017/11/22 01:00:00,100
2017/11/22 22:00:00,160,2017/11/22 22:00:00,77,2017/11/22 02:00:00,4,2017/11/22 22:00:00,15,2017/11/22 22:00:00,9,2017/11/22 22:00:00,9,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/22 22:00:00,160,2017/11/22 22:00:00,77,2017/11/22 02:00:00,4,2017/11/22 22:00:00,15,2017/11/22 22:00:00,9,2017/11/22 22:00:00,9,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
2017/11/23 01:00:00,171,2017/11/23 01:00:00,95,2017/11/22 02:00:00,4,2017/11/23 01:00:00,19,2017/11/23 01:00:00,11,2017/11/23 01:00:00,10,2017/11/22 02:00:00,10,2017/11/22 02:00:00,1022,2017/11/22 02:00:00,93
